crown_id,species,genus,species_id,genus_id
256,Quercus laevis,Quercus,QULA,QU
258,Pinus taeda,Pinus,PITA,PI
262,Quercus geminata,Quercus,QUGE,QU
263,Quercus laevis,Quercus,QULA,QU
265,Quercus laevis,Quercus,QULA,QU
266,Quercus geminata,Quercus,QUGE,QU
268,Pinus taeda,Pinus,PITA,PI
270,Pinus palustris,Pinus,PIPA,PI
271,Pinus palustris,Pinus,PIPA,PI
272,Pinus palustris,Pinus,PIPA,PI
274,Pinus palustris,Pinus,PIPA,PI
276,Pinus palustris,Pinus,PIPA,PI
279,Quercus laevis,Quercus,QULA,QU
280,Pinus palustris,Pinus,PIPA,PI
281,Quercus laevis,Quercus,QULA,QU
283,Pinus palustris,Pinus,PIPA,PI
287,Pinus palustris,Pinus,PIPA,PI
288,Quercus laevis,Quercus,QULA,QU
291,Pinus palustris,Pinus,PIPA,PI
292,Pinus palustris,Pinus,PIPA,PI
293,Pinus palustris,Pinus,PIPA,PI
295,Quercus laevis,Quercus,QULA,QU
297,Pinus taeda,Pinus,PITA,PI
298,Pinus palustris,Pinus,PIPA,PI
302,Quercus laevis,Quercus,QULA,QU
303,Pinus palustris,Pinus,PIPA,PI
304,Pinus palustris,Pinus,PIPA,PI
305,Quercus laevis,Quercus,QULA,QU
306,Pinus palustris,Pinus,PIPA,PI
313,Quercus laevis,Quercus,QULA,QU
315,Pinus palustris,Pinus,PIPA,PI
316,Pinus palustris,Pinus,PIPA,PI
318,Pinus palustris,Pinus,PIPA,PI
321,Pinus palustris,Pinus,PIPA,PI
324,Pinus palustris,Pinus,PIPA,PI
335,Pinus palustris,Pinus,PIPA,PI
338,Pinus palustris,Pinus,PIPA,PI
339,Quercus laevis,Quercus,QULA,QU
340,Quercus laevis,Quercus,QULA,QU
342,Pinus palustris,Pinus,PIPA,PI
348,Pinus palustris,Pinus,PIPA,PI
351,Pinus palustris,Pinus,PIPA,PI
352,Pinus palustris,Pinus,PIPA,PI
354,Pinus palustris,Pinus,PIPA,PI
357,Pinus palustris,Pinus,PIPA,PI
361,Pinus palustris,Pinus,PIPA,PI
363,Pinus palustris,Pinus,PIPA,PI
365,Quercus laevis,Quercus,QULA,QU
366,Pinus palustris,Pinus,PIPA,PI
367,Pinus palustris,Pinus,PIPA,PI
368,Other species,Other,OTHER,OT
369,Pinus palustris,Pinus,PIPA,PI
373,Liquidambar styraciflua,Liquidambar,LIST,LI
375,Pinus palustris,Pinus,PIPA,PI
377,Pinus palustris,Pinus,PIPA,PI
378,Quercus laevis,Quercus,QULA,QU
379,Quercus laevis,Quercus,QULA,QU
382,Quercus geminata,Quercus,QUGE,QU
384,Quercus laevis,Quercus,QULA,QU
387,Pinus palustris,Pinus,PIPA,PI
388,Quercus laevis,Quercus,QULA,QU
390,Pinus palustris,Pinus,PIPA,PI
391,Pinus palustris,Pinus,PIPA,PI
392,Pinus palustris,Pinus,PIPA,PI
393,Quercus laevis,Quercus,QULA,QU
394,Pinus palustris,Pinus,PIPA,PI
395,Pinus taeda,Pinus,PITA,PI
397,Pinus palustris,Pinus,PIPA,PI
398,Pinus palustris,Pinus,PIPA,PI
399,Pinus palustris,Pinus,PIPA,PI
400,Pinus palustris,Pinus,PIPA,PI
401,Liquidambar styraciflua,Liquidambar,LIST,LI
402,Pinus palustris,Pinus,PIPA,PI
403,Pinus palustris,Pinus,PIPA,PI
404,Pinus palustris,Pinus,PIPA,PI
405,Pinus palustris,Pinus,PIPA,PI
407,Pinus palustris,Pinus,PIPA,PI
410,Other species,Other,OTHER,OT
414,Pinus palustris,Pinus,PIPA,PI
415,Pinus palustris,Pinus,PIPA,PI
416,Quercus laevis,Quercus,QULA,QU
417,Pinus palustris,Pinus,PIPA,PI
419,Pinus palustris,Pinus,PIPA,PI
420,Pinus palustris,Pinus,PIPA,PI
423,Pinus taeda,Pinus,PITA,PI
424,Pinus palustris,Pinus,PIPA,PI
426,Quercus laevis,Quercus,QULA,QU
427,Pinus palustris,Pinus,PIPA,PI
430,Pinus palustris,Pinus,PIPA,PI
431,Quercus geminata,Quercus,QUGE,QU
432,Quercus laevis,Quercus,QULA,QU
435,Pinus palustris,Pinus,PIPA,PI
440,Pinus palustris,Pinus,PIPA,PI
446,Pinus palustris,Pinus,PIPA,PI
448,Quercus laevis,Quercus,QULA,QU
450,Pinus palustris,Pinus,PIPA,PI
451,Pinus palustris,Pinus,PIPA,PI
452,Pinus palustris,Pinus,PIPA,PI
454,Pinus palustris,Pinus,PIPA,PI
455,Quercus laevis,Quercus,QULA,QU
463,Pinus palustris,Pinus,PIPA,PI
465,Pinus palustris,Pinus,PIPA,PI
466,Pinus palustris,Pinus,PIPA,PI
469,Quercus nigra,Quercus,QUNI,QU
470,Pinus palustris,Pinus,PIPA,PI
471,Pinus palustris,Pinus,PIPA,PI
472,Quercus laevis,Quercus,QULA,QU
473,Pinus palustris,Pinus,PIPA,PI
474,Pinus palustris,Pinus,PIPA,PI
475,Pinus elliottii,Pinus,PIEL,PI
476,Quercus nigra,Quercus,QUNI,QU
478,Quercus laevis,Quercus,QULA,QU
479,Pinus palustris,Pinus,PIPA,PI
480,Pinus palustris,Pinus,PIPA,PI
482,Acer rubrum,Acer,ACRU,AC
484,Quercus laevis,Quercus,QULA,QU
489,Pinus palustris,Pinus,PIPA,PI
490,Other species,Other,OTHER,QU
492,Pinus palustris,Pinus,PIPA,PI
493,Pinus palustris,Pinus,PIPA,PI
494,Pinus palustris,Pinus,PIPA,PI
495,Pinus palustris,Pinus,PIPA,PI
496,Pinus palustris,Pinus,PIPA,PI
497,Pinus palustris,Pinus,PIPA,PI
501,Pinus palustris,Pinus,PIPA,PI
505,Pinus elliottii,Pinus,PIEL,PI
508,Pinus taeda,Pinus,PITA,PI
512,Pinus palustris,Pinus,PIPA,PI
517,Pinus palustris,Pinus,PIPA,PI
518,Pinus palustris,Pinus,PIPA,PI
521,Pinus palustris,Pinus,PIPA,PI
523,Quercus laevis,Quercus,QULA,QU
524,Pinus palustris,Pinus,PIPA,PI
525,Quercus laevis,Quercus,QULA,QU
527,Pinus palustris,Pinus,PIPA,PI
528,Pinus palustris,Pinus,PIPA,PI
529,Pinus palustris,Pinus,PIPA,PI
530,Pinus palustris,Pinus,PIPA,PI
531,Quercus laevis,Quercus,QULA,QU
536,Pinus palustris,Pinus,PIPA,PI
539,Pinus palustris,Pinus,PIPA,PI
540,Pinus palustris,Pinus,PIPA,PI
546,Pinus palustris,Pinus,PIPA,PI
547,Quercus laevis,Quercus,QULA,QU
552,Quercus laevis,Quercus,QULA,QU
554,Other species,Other,OTHER,OT
557,Pinus palustris,Pinus,PIPA,PI
559,Pinus palustris,Pinus,PIPA,PI
561,Pinus taeda,Pinus,PITA,PI
564,Acer rubrum,Acer,ACRU,AC
567,Pinus palustris,Pinus,PIPA,PI
568,Pinus palustris,Pinus,PIPA,PI
571,Quercus laevis,Quercus,QULA,QU
574,Quercus laevis,Quercus,QULA,QU
578,Quercus laevis,Quercus,QULA,QU
581,Pinus palustris,Pinus,PIPA,PI
583,Pinus palustris,Pinus,PIPA,PI
586,Pinus palustris,Pinus,PIPA,PI
587,Quercus laevis,Quercus,QULA,QU
588,Pinus palustris,Pinus,PIPA,PI
590,Other species,Other,OTHER,PI
592,Pinus palustris,Pinus,PIPA,PI
594,Pinus palustris,Pinus,PIPA,PI
598,Pinus taeda,Pinus,PITA,PI
601,Pinus palustris,Pinus,PIPA,PI
602,Pinus palustris,Pinus,PIPA,PI
606,Quercus laevis,Quercus,QULA,QU
608,Pinus palustris,Pinus,PIPA,PI
609,Pinus palustris,Pinus,PIPA,PI
610,Pinus palustris,Pinus,PIPA,PI
612,Pinus palustris,Pinus,PIPA,PI
622,Quercus nigra,Quercus,QUNI,QU
